GameWinner;GameNumber;RoundCount
AI;1;49
RandomAI;2;48
AI;3;46
RandomAI;4;46
RandomAI;5;47
AI;6;45
RandomAI;7;42
RandomAI;8;44
RandomAI;9;38
RandomAI;10;49
RandomAI;11;46
AI;12;49
AI;13;47
AI;14;45
AI;15;47
RandomAI;16;46
AI;17;49
AI;18;45
RandomAI;19;47
RandomAI;20;40
RandomAI;21;44
AI;22;49
AI;23;38
RandomAI;24;48
RandomAI;25;42
AI;26;40
AI;27;42
AI;28;43
AI;29;39
AI;30;44
AI;31;49
AI;32;45
RandomAI;33;48
RandomAI;34;46
AI;35;48
AI;36;47
RandomAI;37;47
AI;38;49
RandomAI;39;45
RandomAI;40;49
RandomAI;41;46
AI;42;47
RandomAI;43;35
RandomAI;44;47
AI;45;45
AI;46;49
RandomAI;47;46
AI;48;47
AI;49;45
RandomAI;50;36
AI;51;49
RandomAI;52;39
RandomAI;53;39
AI;54;48
AI;55;47
AI;56;49
AI;57;49
RandomAI;58;46
RandomAI;59;45
AI;60;43
RandomAI;61;39
RandomAI;62;48
AI;63;46
RandomAI;64;49
AI;65;46
AI;66;47
AI;67;48
AI;68;47
AI;69;39
RandomAI;70;43
RandomAI;71;47
RandomAI;72;48
RandomAI;73;47
AI;74;44
AI;75;44
AI;76;47
AI;77;45
AI;78;49
RandomAI;79;48
RandomAI;80;46
AI;81;46
AI;82;37
RandomAI;83;48
AI;84;46
RandomAI;85;45
RandomAI;86;41
AI;87;48
AI;88;48
RandomAI;89;48
AI;90;48
AI;91;46
RandomAI;92;37
AI;93;48
AI;94;46
RandomAI;95;40
RandomAI;96;40
RandomAI;97;45
RandomAI;98;33
AI;99;49
AI;100;47
RandomAI;101;47
AI;102;39
RandomAI;103;49
AI;104;48
AI;105;49
AI;106;48
RandomAI;107;49
RandomAI;108;45
AI;109;47
RandomAI;110;49
RandomAI;111;46
RandomAI;112;40
RandomAI;113;44
AI;114;48
;;
AI wint;;Random AI wint
60;;54
