GameWinner;GameNumber;RoundCount
AI;1;20
AI;2;29
AI;3;10
AI;4;15
AI;5;20
AI;6;19
AI;7;46
AI;8;32
RandomAI;9;45
AI;10;16
AI;11;17
AI;12;19
AI;13;46
AI;14;26
AI;15;30
AI;16;11
AI;17;41
RandomAI;18;32
AI;19;24
AI;20;13
AI;21;31
AI;22;29
AI;23;14
AI;24;14
AI;25;15
RandomAI;26;36
AI;27;42
AI;28;16
AI;29;19
AI;30;13
AI;31;13
AI;32;34
AI;33;32
AI;34;20
AI;35;14
AI;36;11
AI;37;18
AI;38;11
AI;39;28
AI;40;39
AI;41;20
AI;42;27
AI;43;18
AI;44;35
RandomAI;45;19
AI;46;9
AI;47;13
RandomAI;48;34
RandomAI;49;24
AI;50;12
AI;51;16
AI;52;30
AI;53;32
AI;54;12
AI;55;11
AI;56;30
AI;57;12
AI;58;35
AI;59;11
AI;60;27
AI;61;24
AI;62;21
AI;63;33
AI;64;10
AI;65;17
AI;66;21
AI;67;48
AI;68;14
AI;69;15
AI;70;17
AI;71;19
AI;72;10
AI;73;21
AI;74;19
AI;75;15
AI;76;30
RandomAI;77;38
AI;78;40
AI;79;23
AI;80;12
AI;81;19
RandomAI;82;50
AI;83;21
AI;84;26
AI;85;21
AI;86;15
AI;87;49
AI;88;32
AI;89;17
RandomAI;90;51
AI;91;15
AI;92;11
AI;93;17
AI;94;13
AI;95;17
AI;96;16
AI;97;39
AI;98;11
AI;99;25
AI;100;51
;;
Ai wint;Ran wint;
91;9;
