GameWinner;GameNumber;RoundCount
AI;1;18
AI;2;44
AI;3;20
AI;4;17
AI;5;18
AI;6;22
AI;7;32
AI;8;28
AI;9;30
AI;10;13
AI;11;12
AI;12;37
AI;13;38
AI;14;45
AI;15;38
AI;16;12
AI;17;24
AI;18;45
AI;19;14
AI;20;14
AI;21;26
AI;22;16
AI;23;12
AI;24;22
AI;25;10
AI;26;52
AI;27;38
AI;28;19
AI;29;9
AI;30;27
AI;31;15
AI;32;32
AI;33;17
AI;34;19
AI;35;19
AI;36;11
AI;37;12
AI;38;19
AI;39;30
AI;40;20
AI;41;12
AI;42;37
AI;43;39
AI;44;30
AI;45;14
AI;46;13
AI;47;22
RandomAI;48;30
AI;49;41
RandomAI;50;38
AI;51;11
AI;52;31
AI;53;22
AI;54;27
AI;55;20
AI;56;36
AI;57;14
AI;58;27
AI;59;24
RandomAI;60;34
AI;61;12
AI;62;17
AI;63;13
AI;64;17
AI;65;16
AI;66;29
AI;67;12
AI;68;21
AI;69;15
AI;70;15
AI;71;36
AI;72;11
AI;73;10
AI;74;9
AI;75;20
AI;76;28
AI;77;11
AI;78;19
AI;79;15
AI;80;20
AI;81;38
RandomAI;82;25
AI;83;40
RandomAI;84;47
AI;85;44
AI;86;45
AI;87;46
AI;88;21
AI;89;41
AI;90;31
AI;91;14
AI;92;35
AI;93;49
RandomAI;94;30
AI;95;17
AI;96;53
AI;97;27
AI;98;21
AI;99;25
AI;100;17
;;
AI wint;Ran Wint;
94;6;
